Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
44695,4,,11 out of 13,Carpet Area,"Insignia, Bandra East","India-, Mumbai",Semi-Furnished,Bachelors[/Fa)mily,4,,150000
44724,,1250,6 out of 18,Carpet Area,"Panch Ritu, Chandivali",(-9 Mumbai,Furnished,,,Contact Agent,100000
44740,2,1000,5 out of 9,Carpet Area,Breach Candy,#-9 Mumbai,Furnished,Bach#elors\/Family,3,Contact Agent,170000
44749,,710,8 out of 16,Carpet Area,Saki Vihar Road,)-9 Mumbai,Unfurnished,,2,Contact Agent,45000
,3,1350,1 out of 5,Carpet Area,Anand niwas,India-| Mumbai,Furnished,,,Contact Agent,200000
44735,2,400,3 out of 3,Carpet Area,Pant Nagar,India-| Mumbai,Furnished,Bachelo(rs./Family,,,20000
44749,3,1000,,Carpet Area,,India-. Mumbai,,Bachelors/Fa>(mily,4,Contact Agent,85000
44748,3,1500,,CARPET AREA,,/-9 Mumbai,Unfurnished,=+Fa?mily,3,Contact Agent,130000
44751,1,500,3 out of 6,Super Area,,?-9 Mumbai,Semi-Furnished,Bachelors/Famil;y*,1,Contact Agent,40000
44742,4,2000,,Carpet Area,"Imperial Heights, Goregaon West",,Furnished,"Bache^lors""",4,Contact Agent,250000
44680,1,225,Ground out of 4,,Shrikrupa Society,^-9 Mumbai,Unfurnished,"Bac,helor}s",1,Contact Owner,15000
,,,12 out of 19,Carpet Area,Mulund West,,Furnished,Bachelo=rs/Family{,2,Contact Agent,40000
44748,2,670,,,"Velentine Tower, Goregaon East",%-9 Mumbai,Semi-Furnished,F/amily.,2,Contact Owner,48000
44712,2,610.0Square Feet,Ground out of 6,Carpet Area,,India-} Mumbai,Semi-Furnished,Bache(l\ors,1,Contact Owner,15000
44743,1,400,1 out of 5,,Chakala,,Furnished,Ba>chelors/Fami%ly,2,Contact Agent,28000
44730,1,,13 out of 23,Carpet Area,"Mahalaxmi CHS, Worli",/-9 Mumbai,Unfurnished,,1,Contact Agent,25000
44704,,471,9 out of 38,Carpet Area,"Runwal Forests, Kanjurmarg West","""-9 Mumbai",Semi-Furnished,B:@achelors,,Contact Agent,34000
44715,1,,,,Carter Road,[-9 Mumbai,Furnished,"Bac""hel]ors/Family",2,Contact Agent,75000
44700,2,630,8 out of 13,Carpet Area,"Crescent Solitaire, Sakinaka Junction",,Semi-Furnished,,,Contact Agent,45000
44708,1,500,1 out of 8,Super Area,,,Semi-Furnished,Bac@hel{ors/Family,2,Contact Owner,35000
44748,,400,3 out of 7,Carpet Area,"Trans Residency, Andheri East",India-[ Mumbai,,"Bachelo?rs/Famil""y",1,Contact Agent,32000
,,,3 out of 7,Super Area,"holy complex ,Mira Road, Mumbai",|-9 Mumbai,Unfurnished,B+ach$elors/Family,2,,17000
44732,4,1528.0Square Feet,65 out of 76,Carpet Area,,.-9 Mumbai,Unfurnished,Fam*il*y,4,Contact Agent,230000
44698,2,650,5 out of 7,Carpet Area,"Thakur Village, Kandivali East",'-9 Mumbai,Semi-Furnished,=-Bachelo^rs/Family,2,,35000
,1,500,6 out of 7,Carpet Area,Thane-Kalyan-Dombivli,India-/ Mumbai,Unfurnished,"Ba,chelor\s",1,,8500
44700,3,,,Carpet Area,"Oberoi Splendor, Agarkar Chowk",]-9 Mumbai,Semi-Furnished,Bachelors/Fami=<ly,2,Contact Agent,80000
44695,1,,,,"Paschim Apartments, Prabhadevi",India-) Mumbai,Semi-Furnished,*Bachelors<,1,Contact Agent,55000
44724,1,,7 out of 21,Carpet Area,"Godrej Tranquil, Kandivali East",\-9 Mumbai,Unfurnished,Fam}il]y,2,Contact Agent,25000
,3,1030,,Carpet Area,"Bhairav Residency, Mira Road",India-} Mumbai,Furnished,Fam+ily(,3,,40000
,1,250,11 out of 24,,,{-9 Mumbai,Unfurnished,"Bachelo|,rs/Family",,Contact Agent,15500
44748,,500,9 out of 16,Carpet Area,Mahim,(-9 Mumbai,Unfurnished,Bac(helor@s,2,Contact Agent,45000
,4,1750,9 out of 31,Carpet Area,Andheri West,India-' Mumbai,Semi-Furnished,B]achelors.,,Contact Agent,180000
44748,2,,7 out of 15,Carpet Area,"Chembur Heights, Sindhi Society Chembur",India-& Mumbai,,Bache+lors/Fam%ily,2,Contact Agent,51000
44732,3,1050,12 out of 13,Carpet Area,"Veena Signature, Borivali West",!-9 Mumbai,Unfurnished,Bache[lo.rs,3,Contact Agent,60000
44704,,700,,Carpet Area,Borivali East,India-& Mumbai,Unfurnished,Bachelors/Fa[m{ily,2,Contact Agent,36000
,,1200,10 out of 12,,Bandra West,India-% Mumbai,Semi-Furnished,"Ba(che""lors/Family",3,Contact Agent,180000
44735,3,1000,6 out of 12,Carpet Area,Chembur,{-9 Mumbai,Furnished,,3,Contact Agent,75000
44732,,550,3 out of 9,Carpet Area,"Nakoda Heights, Nalasopara",India-! Mumbai,Unfurnished,Fami)l'y,2,Contact Agent,8000
44691,3,,,Super Area,Wadala,India-: Mumbai,Semi-Furnished,B/achelors/Fami#ly,2,Contact Owner,50000
44751,3,1400,22 out of 30,Carpet Area,"Hiranandani Verona Co op Housing Society Ltd, Powai",,Furnished,Bach*'elors/Family,3,Contact Agent,100000
44749,1,470,,,"Kanungos Garden City, Mira Road East",>-9 Mumbai,Semi-Furnished,,2,Contact Agent,16500
44712,1,,3 out of 4,Super Area,Nalasopara West,,Unfurnished,\/Bachelors/Family,1,Contact Owner,4500
44749,2,583,10 out of 23,Carpet Area,,>-9 Mumbai,,,2,,34000
44728,,475,8 out of 12,Carpet Area,Goregaon West,,Unfurnished,Bachelors%),2,Contact Agent,32000
44693,2,,1 out of 8,Carpet Area,Yashodham,India-* Mumbai,Furnished,=Famil:(y),2,,50000
44749,1,,3 out of 7,Carpet Area,,#-9 Mumbai,Semi-Furnished,,1,Contact Owner,24000
44748,2,806,3 out of 58,Carpet Area,"Auris Serenity, Malad West",India-| Mumbai,Unfurnished,Bachelors/Famil:<y,3,Contact Agent,62000
44749,,400,9 out of 10,Carpet Area,"Violette Valley, Bandra West",|-9 Mumbai,Furnished,Ba[chelors/F@amily,1,,100000
44680,1,650,6 out of 10,Super Area,Bhandup West,India-\ Mumbai,Semi-Furnished,Ba!ch]elors/Family,2,Contact Owner,21000
44680,1,550,4 out of 15,,"Raj Hill, Borivali East",,Semi-Furnished,Ba[c>helors/Family,2,Contact Owner,27000
44742,,390,3 out of 4,Carpet Area,Mira Road East,.-9 Mumbai,,Bach?elors/Fami!ly,1,Contact Agent,10000
44742,2,994,2 out of 2,,"Ajmera Treon, Bhakti Park",India-\ Mumbai,Semi-Furnished,,,Contact Agent,90000
44712,1,520,6 out of 8,Super Area,,India-- Mumbai,Semi-Furnished,Bachelo;{rs/Family,2,Contact Owner,8000
44727,,575,,Carpet Area,Malabar Hill,India-\ Mumbai,Semi-Furnished,">Famil,y",,Contact Agent,75000
44751,3,2750,53 out of 60,Carpet Area,"Lodha World Crest, Lower Parel",India-@ Mumbai,Unfurnished,Bachelo]rs/Fam?ily,3,Contact Agent,230000
44725,,470,5 out of 22,,"Man Opus, Mira Road East",India-\ Mumbai,Semi-Furnished,=Famil$y,2,,15000
44748,4,2500,3 out of 7,Carpet Area,Khar West,India-\ Mumbai,,=-Bachel_ors/Family,4,Contact Agent,260000
44751,3,1100,15 out of 22,Carpet Area,"Lake Homes, Powai",,Semi-Furnished,F&+amily,3,Contact Agent,62000
44739,1,480,6 out of 7,Carpet Area,Yari Road,India-@ Mumbai,Furnished,Bac}helors/Family&,2,,43500
44708,,750,,Carpet Area,"Cosmopolis Tower, Andheri West",,Unfurnished,@Bachelor;s/Family,,Contact Agent,62000
,,2424,5 out of 14,Carpet Area,"Rustomjee Elements, Andheri West",#-9 Mumbai,Semi-Furnished,,5,Contact Agent,400000
44748,2,724,19 out of 21,Carpet Area,"Sethia Grandeur, Bandra East",India-{ Mumbai,Semi-Furnished,B^ache;lors,2,Contact Agent,77500
44700,1,600,5 out of 5,CARPET AREA,Mulund Railway Station,"""-9 Mumbai",Furnished,B+achelor's/Family,1,Contact Owner,30000
,3,1076,9 out of 40,Carpet Area,"Lodha New Cuffe Parade, Wadala East",&-9 Mumbai,,Bachelor%s/Fa%mily,,Contact Agent,110000
44680,1,,3 out of 4,Super Area,in Byculla,India-_ Mumbai,Unfurnished,Bachelor>s/Fam<ily,2.0 Bathrooms,Contact Owner,20000
44748,,1300,6 out of 7,Carpet Area,Seven Bungalows,?-9 Mumbai,Semi-Furnished,Bachel/ors/^Family,,Contact Agent,150000
,1,500,,Carpet Area,Bandra West,?-9 Mumbai,Unfurnished,[Bachelor/s/Family,2,Contact Agent,55000
44734,2,,Ground out of 8,Carpet Area,Santacruz West,India-! Mumbai,Semi-Furnished,Bach(elors&,2,Contact Agent,70000
44704,2,700,4 out of 9,,Kamla Nagar,India-_ Mumbai,Furnished,Bachelo'rs.,2,Contact Agent,65000
44751,3,,44 out of 75,Carpet Area,"Omkar 1973, Worli",India-^ Mumbai,Semi-Furnished,Bac>]helors/Family,4,Contact Agent,310000
44729,1,225,18 out of 24,,Worli,India-{ Mumbai,Unfurnished,?Bachelor_s,2,Contact Agent,18000
44735,1,485,8 out of 17,Carpet Area,"Kanakia Sevens, Andheri East",|-9 Mumbai,,Bachel=ors/Fam$ily,2,Contact Agent,48000
44680,1,225,7 out of 8,Super Area,Kanjurmarg East,,Unfurnished,Bac+helors/Family{,1,Contact Owner,10000
,,,4 out of 11,Carpet Area,,<-9 Mumbai,,">Bachel""ors/Family",2,Contact Agent,32000
44691,3,1200,4 out of 5,Super Area,"Ishwardas Bhuvan CHS, Kandivali East",;-9 Mumbai,Semi-Furnished,@Ba)chelors/Family,3,Contact Owner,32000
44749,,620,3 out of 14,Carpet Area,Datta Pada,India-| Mumbai,Semi-Furnished,,,Contact Agent,36000
44720,1,,3 out of 7,Carpet Area,,*-9 Mumbai,,Bachelors/Fami{ly<,1,Contact Agent,22000
44732,1,385,3 out of 9,Carpet Area,"Manibhadra Avenue, Morya Nagar",India-= Mumbai,Unfurnished,Fami_ly%,1,Contact Agent,5500
44706,3,704,5 out of 17,Carpet Area,Thane-Kalyan-Dombivli,'-9 Mumbai,Unfurnished,"B,achelors/Family'",2,Contact Owner,15000
44680,2,710,3 out of 4,Carpet Area,Anushakti Nagar,India-* Mumbai,,"Bach#elor""s/Family",2,Contact Owner,40000
,1,,2 out of 8,Super Area,,+-9 Mumbai,,Bach()elors/Family,1,Contact Owner,28000
44742,1,390,Ground out of 4,Carpet Area,Mira Road East,India-_ Mumbai,,"Bachelors/""/Family",1,Contact Agent,11000
44748,,755,12 out of 31,,"Omkar Ananta, Goregaon East",%-9 Mumbai,Semi-Furnished,Bac>$helors,2,Contact Agent,40000
44708,2,700.0Square Feet,,Carpet Area,Oshiwara,India-| Mumbai,Unfurnished,Bachel]o:rs/Family,2,,45000
44722,2,,6 out of 10,Carpet Area,Bandra West,>-9 Mumbai,Semi-Furnished,B}a<chelors,3,,180000
44736,3,2000,Upper Basement out of 30,,,,Furnished,,3,Contact Agent,160000
44743,2,650,3 out of 4,Carpet Area,Tata Nagar,India-] Mumbai,,F&@amily,2,Contact Agent,36000
44742,1,,26 out of 42,Carpet Area,,&-9 Mumbai,Semi-Furnished,Ba|c&helors,1,Contact Agent,59000
,1,450,3 out of 8,,,]-9 Mumbai,,Bac-helors/Famil)y,2,Contact Agent,40000
44691,2,625,6 out of 10,SUPER AREA,Goregaon West,/-9 Mumbai,Semi-Furnished,,,Contact Owner,40000
44704,2,700,3 out of 9,Carpet Area,Gulmohar Road,India-/ Mumbai,Furnished,Bach|^elors,2,Contact Agent,72000
44749,2,600,4 out of 10,Carpet Area,"Mindspace, Mindspace","""-9 Mumbai",Unfurnished,Fami'ly:,2,Contact Agent,40000
44723,2,600,2 out of 3,Carpet Area,Nerul sector-3,India-+ Mumbai,Unfurnished,.Fa#mily,1,Contact Owner,16000
44739,,1100,14 out of 22,Super Area,"Magnum Tower CHS, Lokhandwala Complex",_-9 Mumbai,Furnished,"Bachelors/Fami(,ly",4,Contact Agent,50000
44708,1,,,Carpet Area,"Kanakia Sanskruti, Thakur Complex",India-& Mumbai,Semi-Furnished,Family{.,1,Contact Agent,24000
44751,2,950,2 out of 45,Carpet Area,"DB Woods, Gokuldham",)-9 Mumbai,Semi-Furnished,Bachelo#rs*/Family,2,,65000
44749,2,,12 out of 13,Super Area,Mulund East,"India-"" Mumbai",Unfurnished,Bachelor\s/-Family,2,Contact Owner,33000
44728,2,650,2 out of 7,Carpet Area,Kandivali West,,Unfurnished,B&achel;ors,2,Contact Agent,27000
44726,2,750,,Carpet Area,Oshiwara,,Semi-Furnished,,2,Contact Agent,52000
44741,3,900,,Carpet Area,"Dosti Flamingo, Sewri",=-9 Mumbai,Semi-Furnished,Fam.%ily,3,Contact Agent,95000
,2,805,12 out of 68,Carpet Area,"Auris Serenity, Kanch Pada",India-+ Mumbai,Semi-Furnished,Ba%.chelors/Family,3,Contact Agent,68000
44751,2,742,17 out of 36,Carpet Area,"Runwal Forests, Kanjurmarg West",India-{ Mumbai,,Fam$ily!,,Contact Agent,48000
44742,2,550,4 out of 7,Carpet Area,"Shiv Ganga Apartment, Malad West",#-9 Mumbai,Semi-Furnished,,2,Contact Agent,32000
44725,2,,,Carpet Area,"Akruti Orchid Park, Sakinaka Junction",India-* Mumbai,Semi-Furnished,,2,Contact Agent,42000
44712,2,800,2 out of 7,Carpet Area,"Kenmore Apartment, Lokhandwala Complex",India-\ Mumbai,Furnished,Fam\il+y,2,Contact Agent,60000
44724,3,1265,,CARPET AREA,"Ambrosia Apartment, Borivali East",,Unfurnished,"F""_amily",3,Contact Agent,51500
44751,3,,10 out of 16,Super Area,Lokhandwala Complex,.-9 Mumbai,Unfurnished,Bach}elor@s/Family,3,Contact Agent,130000
44739,1,325,17 out of 24,Carpet Area,"Mahalaxmi CHS, Worli",&-9 Mumbai,Furnished,,1,,25000
44751,,,41 out of 41,Carpet Area,"Lodha Fiorenza, Goregaon East",,Semi-Furnished,"Bach_elors/Famil,y",2,Contact Agent,85000
44748,3,1233,14 out of 68,,"Auris Serenity, Kanch Pada",--9 Mumbai,Semi-Furnished,"Bachelors/Fam$il""y",4,Contact Agent,98000
,2,,Ground out of 6,Super Area,Peddar Road,%-9 Mumbai,Furnished,Bachel(or?s/Family,2,Contact Owner,100000
44702,2,600,14 out of 17,Carpet Area,"Platinum Prive, Andheri West",India-\ Mumbai,Unfurnished,Bac-hel)ors,,Contact Agent,65000
44736,1,500,3 out of 9,Super Area,Chembur,+-9 Mumbai,Unfurnished,Bachelors/Fami]ly=,1,Contact Agent,23000
44744,2,600,,Carpet Area,Tilak Nagar - Harbour Line,&-9 Mumbai,Unfurnished,,,Contact Agent,40000
44735,3,950,15 out of 17,,IC Colony,,Unfurnished,&Bachelors/Fa+mily,3,,45000
44739,1,680,5 out of 7,,"Ballerina Apartment, Lokhandwala Complex",<-9 Mumbai,Furnished,Bach?elors/F[amily,4,Contact Agent,40000
44749,1,,1 out of 7,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",India-( Mumbai,,Ba]chelors/Fami'ly,1,,23500
44749,4,2120,46 out of 76,Carpet Area,"Lodha Marquise, Worli Sea Face","""-9 Mumbai",Furnished,Ba[chelors/Family?,5,Contact Agent,250000
44743,3,1350,12 out of 20,,"Atur Park, Chembur",India-? Mumbai,Semi-Furnished,Bac#helors_,4,Contact Agent,110000
44732,,1600,,,JVPD Scheme,]-9 Mumbai,Semi-Furnished,,,Contact Agent,150000
44715,1,,4 out of 6,Carpet Area,Thakur Complex,,Unfurnished,|Family#,1,Contact Agent,22000
44751,4,1937,,,"Raj Grandeur, Powai",}-9 Mumbai,Semi-Furnished,Ba$chelors/&Family,5,Contact Agent,150000
44719,,700,4 out of 7,CARPET AREA,Santacruz West,--9 Mumbai,Semi-Furnished,Bach;-elors,3,,75000
44703,2,780,14 out of 18,CARPET AREA,"Nirmal Lifestyle, LBS Marg",India-< Mumbai,,"Bac,helors/>Family",2,Contact Agent,41000
44714,4,1300,5 out of 13,Carpet Area,"Kabra Centroid, Kalina",India-' Mumbai,Semi-Furnished,Bac{hel^ors/Family,,Contact Agent,150000
44732,3,,18 out of 32,Carpet Area,"Transcon Triumph, Lokhandwala Complex",India-+ Mumbai,Semi-Furnished,Bachelors!/F@amily,,Contact Agent,150000
44695,2,750,5 out of 18,Carpet Area,Chembur,India-@ Mumbai,Furnished,|Ba#chelors/Family,2,Contact Agent,53000
44712,4,,10 out of 25,Carpet Area,"Adani Western Heights, Andheri West","India-"" Mumbai",Semi-Furnished,Bachelo/rs/F/amily,3,Contact Agent,140000
44740,4,2000,17 out of 29,Carpet Area,"Raj Grandeur, Hiranandani Gardens",--9 Mumbai,,Bache=lo%rs/Family,5,,200000
44742,2,850,10 out of 31,,"Vishnu Shivam Tower, Thakur Village, Kandivali East",?-9 Mumbai,Furnished,"""Bachelors/Fam#ily",2,Contact Agent,65000
44704,,500,,,Gulmohar Road,:-9 Mumbai,Furnished,Bachelor_s!,1,Contact Agent,48000
44751,2,900,10 out of 15,Super Area,,,Unfurnished,Bachelors/Famil%'y,2,Contact Agent,75000
44735,2,,1 out of 3,Carpet Area,"Takshila CHS, Andheri East",/-9 Mumbai,Semi-Furnished,,2,Contact Agent,39000
44751,3,1100,18 out of 22,,Chandivali,India-' Mumbai,Semi-Furnished,Ba[c\helors/Family,2,Contact Agent,70000
44713,4,,4 out of 15,Carpet Area,Juhu,India-- Mumbai,Semi-Furnished,Bac'helo|rs/Family,4,Contact Agent,1200000
44680,1,596,,Super Area,Kandivali West,<-9 Mumbai,Semi-Furnished,Bac#helors/Fa?mily,1,,25000
44740,2,680,3 out of 4,,"DLH Orchid, Lokhandwala Complex",India-' Mumbai,Unfurnished,Bachel'or(s,2,Contact Agent,45000
44698,4,1950,,Carpet Area,"Godrej Serenity Mumbai, Chembur",India-- Mumbai,,Bachel:ors/Family>,4,Contact Agent,190000
44751,,,,Carpet Area,"Transcon Triumph, Lokhandwala Complex",India-\ Mumbai,Semi-Furnished,Ba$ch{elors/Family,3,Contact Agent,140000
,,510,,Carpet Area,Chakala Cigarette Factory,India-@ Mumbai,Semi-Furnished,Bachelors?</Family,1,Contact Owner,35000
44732,1,500,5 out of 7,Carpet Area,"Green Gate Apartment, Pali Hill",India-= Mumbai,Furnished,Bachelo>rs&/Family,1,Contact Agent,60000
,1,375,13 out of 16,Super Area,Kanjurmarg East,,Unfurnished,Ba-c(helors/Family,1,Contact Owner,15000
44702,1,,,,Model Town,India-> Mumbai,Furnished,Family{[,1,Contact Agent,39000
44694,3,1500,8 out of 10,Carpet Area,Bandra West,India-< Mumbai,Semi-Furnished,Bach=elors/Famil*y,3,,190000
44732,3,1000,18 out of 21,Carpet Area,"Lake Primrose, Powai",#-9 Mumbai,Furnished,@Bachel&ors/Family,3.0 Bathrooms,Contact Agent,84000
44712,3,1260,27 out of 58,,"Alta Monte, Pathanwadi",@-9 Mumbai,,,3,Contact Agent,68000
44724,1,475,8 out of 20,Carpet Area,"Dreams Complex, Bhandup West",India-% Mumbai,Unfurnished,,2,Contact Agent,26000
44732,,620,6 out of 11,Carpet Area,"NG Royal Park, Kanjurmarg East",--9 Mumbai,Semi-Furnished,"Fam|il""y",,Contact Agent,42000
44740,,490,1 out of 6,,Mukund Nagar,India-$ Mumbai,Furnished,,1,Contact Agent,35000
,2,710,,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",India-) Mumbai,Semi-Furnished,Bachelo_rs/%Family,2,Contact Agent,44000
44712,2,720,4 out of 7,Carpet Area,Sindhi Society Chembur,--9 Mumbai,Unfurnished,,2,Contact Agent,60000
,,770,,Carpet Area,Goregaon West,_-9 Mumbai,Semi-Furnished,Bache:lors?,,Contact Agent,45000
44716,3,1600,19 out of 25,Super Area,"Chaitanya Towers, Prabhadevi",,Semi-Furnished,}Ba?chelors/Family,3,Contact Agent,250000
44704,1,,Ground out of 5,Carpet Area,Bandra West,,Furnished,Bachelors(/Fam*ily,1,Contact Agent,65000
44695,,350,1 out of 8,,Parel,@-9 Mumbai,Unfurnished,Bach{elors(/Family,1,Contact Owner,20000
44751,2.0 room,1000,3 out of 15,Super Area,"7 Bungalow, Seven Bungalows","""-9 Mumbai",Semi-Furnished,Bach_el/ors/Family,2,Contact Agent,75000
44751,,3900,4 out of 6,,Altamount Road,|-9 Mumbai,Furnished,Bachelors+/Fam#ily,5,Contact Agent,500000
44742,3,1000,3 out of 7,,Juhu,"""-9 Mumbai",Semi-Furnished,,3,Contact Agent,140000
44748,2,660.0Square Feet,25 out of 43,Carpet Area,,,Semi-Furnished,B;achelo>rs,,Contact Agent,45000
44706,1,600,,,Bhayandar East,India-? Mumbai,,Bachelors/Fami=|ly,1,Contact Owner,9400
44734,2,900,,Carpet Area,,@-9 Mumbai,Furnished,Bache'lors/Famil\y,2,Contact Agent,100000
44732,2,,2 out of 3,,"Ganpat Niketan Apartment, Khar West",>-9 Mumbai,Furnished,Bach!elors/Fa+mily,2,Contact Agent,65000
44712,,1000,2 out of 7,Carpet Area,Bandra West,India-] Mumbai,Furnished,Bachelor]s/Fa&mily,2,Contact Agent,230000
44700,3.0 room,1500,7 out of 12,Carpet Area,Bandra West,India-? Mumbai,Semi-Furnished,Bachelo+rs%,3,Contact Agent,180000
44700,2,1200,7 out of 12,,Khar West,&-9 Mumbai,Furnished,,3,Contact Agent,180000
44737,3,1200,10 out of 14,Carpet Area,Khar West,,,Bachelor's/Family{,3,Contact Agent,120000
44749,1,280,11 out of 24,Carpet Area,Century Bazaar,$-9 Mumbai,Semi-Furnished,:Bachelors/F[amily,1,Contact Agent,20000
44700,2,1000,10 out of 12,Carpet Area,Khar West,{-9 Mumbai,Furnished,Bach$elor+s,2,Contact Agent,130000
44700,3,1800,7 out of 14,,Pali Hill,India-. Mumbai,Semi-Furnished,Bachelors=},,Contact Agent,400000
44734,2,694,,Carpet Area,Bandra West,India-& Mumbai,Semi-Furnished,:Bachelors/Fam/ily,2,Contact Agent,75000
44712,5,,12 out of 18,Carpet Area,,/-9 Mumbai,Unfurnished,Fami|l-y,5,Contact Agent,350000
44680,3,1740,21 out of 22,,Powai,India-% Mumbai,Furnished,Bachel\o{rs/Family,4,Contact Owner,100000
44728,2,750,8 out of 14,Carpet Area,Chembur,+-9 Mumbai,Furnished,&Bachelors/F|amily,2,Contact Agent,55000
,3.0 room,,12 out of 20,,"Nahar Amrit Shakti powai, Chandivali","""-9 Mumbai",Semi-Furnished,Bache?:lors/Family,3,Contact Agent,70000
44741,1,500,3 out of 4,Super Area,Sion,$-9 Mumbai,Furnished,Bac'helors/Famil|y,1,Contact Owner,30000
44740,4,2000,11 out of 12,Carpet Area,Mehboob Studio,,Semi-Furnished,Bachelor>-s,5,Contact Agent,330000
44725,1,550,7 out of 10,,Bandra West,]-9 Mumbai,Furnished,Ba[chelors/'Family,2,,75000
44739,1,270,6 out of 7,Carpet Area,Poisar,,Unfurnished,_Bache>lors,1,Contact Owner,14000
,3,,,,7 Bungalows Andheri West,--9 Mumbai,Semi-Furnished,Fam#ily$,3,Contact Agent,130000
44680,3,1200,2 out of 4,Super Area,,}-9 Mumbai,Semi-Furnished,Fa<mi[ly,2,Contact Owner,40000
44708,,,15 out of 18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",India-? Mumbai,Unfurnished,"Bache,lors/Fa%mily",,Contact Agent,46000
44746,1,472,13 out of 14,Carpet Area,"Marathon Embryo, Bhandup West",_-9 Mumbai,Semi-Furnished,,2,Contact Owner,27000
44707,,1000,10 out of 13,Carpet Area,Bandra West,",-9 Mumbai",Semi-Furnished,\Bachelors/Fa}mily,2,Contact Agent,95000
44751,2.0 room,800,14 out of 18,Carpet Area,"Kanakia Hollywood, Sai Nagar",India-^ Mumbai,Semi-Furnished,"-Fa""mily",2,Contact Agent,94000
44742,,650,,Carpet Area,"Gaurav Heights, Kandivali West",India-[ Mumbai,Unfurnished,;Bach?elors,2,Contact Agent,40000
44746,3,1300,,Carpet Area,,India-* Mumbai,Semi-Furnished,Bac+helo!rs/Family,3,Contact Agent,150000
44749,,600,2 out of 5,Carpet Area,"Gokul Apartment, Evershine Nagar",*-9 Mumbai,Unfurnished,,2,Contact Agent,30000
,2,750,7 out of 10,Carpet Area,Opera House,India-. Mumbai,Furnished,Ba/ch]elors,2,Contact Agent,95000
44728,2,,,,"Lodha The Park, Worli",<-9 Mumbai,,,2,Contact Agent,130000
44708,1,421,,Carpet Area,Borivali East,India-> Mumbai,Unfurnished,Bachelors/Famil'y],1,Contact Agent,14000
,3.0 room,,12 out of 24,,"L&T Emerald Isle, Powai",India-> Mumbai,Semi-Furnished,",Fa[mily",3,Contact Agent,100000
44747,1,350,2 out of 3,Super Area,Dadar West,}-9 Mumbai,Unfurnished,B!achelors/Fa#mily,1,Contact Owner,35000
44719,2,800,5 out of 20,Carpet Area,"Nahar Amrit Shakti powai, Chandivali",India-$ Mumbai,Semi-Furnished,Bachelor-s/Famil&y,,Contact Agent,57000
,2,650,5 out of 6,Carpet Area,Santacruz East,India-_ Mumbai,Semi-Furnished,"Bachelor""{s/Family",2,Contact Owner,45000
44680,,,18 out of 19,Super Area,Mira Road,India-< Mumbai,Furnished,,2,Contact Owner,11000
44695,2,,10 out of 20,Carpet Area,"Sheth Montana, Mulund West",India-& Mumbai,Semi-Furnished,B}a-chelors/Family,2,Contact Agent,50000
44708,,680,12 out of 20,,"Parinee Adney, Borivali West",India-' Mumbai,Unfurnished,,2,Contact Agent,35000
44748,2,800,1 out of 5,,Bandra West,India-^ Mumbai,Furnished,B!achelors/Famil}y,2,Contact Agent,100000
44748,,1250,12 out of 29,Carpet Area,"Adani Western Heights, 4 Bunglows",India-$ Mumbai,Semi-Furnished,Fa]mi_ly,3,Contact Agent,130000
44704,1,475,10 out of 18,Carpet Area,Shivaji Park,India-. Mumbai,Unfurnished,Bachelor_s/Fam+ily,,Contact Agent,52000
,2,600,1 out of 5,Carpet Area,"Gokul Apartment, Evershine Nagar",India-_ Mumbai,Unfurnished,Bachelo@rs/Fam)ily,2,,28000
44680,1,,2 out of 4,Super Area,"Nem Vihar, Mulund West",\-9 Mumbai,Unfurnished,"B!achelors/Famil,y",1,Contact Owner,18000
44716,1,400,3 out of 6,Super Area,Bhatti Pada,,Unfurnished,Bachelors^[,1,Contact Owner,30000
44748,3,,Lower Basement out of 18,Carpet Area,"Gemstar Symphony Apartment, Kandivali West",<-9 Mumbai,Unfurnished,\:Family,3,Contact Agent,45000
,3,,3 out of 7,Carpet Area,Shivaji Park,India-. Mumbai,,Bach.e=lors,3,Contact Agent,130000
44708,2,650,,Carpet Area,"L&T Emerald Isle, Powai",India-& Mumbai,Semi-Furnished,Fami{l>y,2,Contact Agent,58000
44748,2,805,48 out of 68,,"Auris Serenity, Kanch Pada",=-9 Mumbai,Semi-Furnished,,3,Contact Agent,65000
,,650,3 out of 4,Super Area,,India-] Mumbai,Semi-Furnished,"Bachelor,s/>Family",1,Contact Owner,24000
44751,1.0 room,,12 out of 42,Carpet Area,"Lodha New Cuffe Parade, Wadala East",India-: Mumbai,Unfurnished,Bac!helors/:Family,,,54500
44724,3,1000,15 out of 20,Carpet Area,Chandivali,:-9 Mumbai,Semi-Furnished,Ba^c^helors/Family,,Contact Agent,70000
44719,,1050,,,Chembur,--9 Mumbai,Semi-Furnished,Fa$mily:,3,,67000
44751,2,,17 out of 22,Carpet Area,"Hiranandani Castle Rock, Powai",,Furnished,Bac}helo(rs/Family,2,Contact Agent,75000
44723,2,831,16 out of 22,Carpet Area,"Kaustubh Platinum, Datta Pada",India-( Mumbai,Unfurnished,Fami$ly+,,,45000
